duration,distance,place,type
06:01:56,251.44,MACAÉ,CARRETA
06:54:49,251.37,SÃO PAULO,TOCO
05:42:22,250.74,SÃO PAULO,TOCO
04:59:13,250.66,DUQUE DE CAXIAS,VUC
05:09:12,250.57,SÃO PAULO,TOCO
06:24:17,249.89,SÃO PAULO,VUC
05:33:53,247.52,SÃO PAULO,VUC
06:20:28,247.51,SÃO PAULO,VUC
05:51:27,246.76,SÃO PAULO,VUC
06:01:33,246.53,DUQUE DE CAXIAS,TOCO
06:35:23,245.04,DUQUE DE CAXIAS,VUC
04:54:36,243.92,MACAÉ,CARRETA
05:12:55,243.73,MACAÉ,CARRETA
05:43:48,242.98,MACAÉ,CARRETA
05:33:31,242.11,SÃO PAULO,TOCO
05:52:20,241.74,MACAÉ,CARRETA
05:40:01,241.43,MACAÉ,CARRETA
05:22:07,241.41,SÃO PAULO,TOCO
06:56:00,241.34,MACAÉ,CARRETA
05:55:32,240.6,MACAÉ,CARRETA
07:22:37,240.32,DUQUE DE CAXIAS,TOCO
05:40:10,240.14,DUQUE DE CAXIAS,VUC
05:49:07,239.99,DUQUE DE CAXIAS,VUC
05:08:58,239.85,DUQUE DE CAXIAS,TOCO
06:10:53,239.13,SÃO PAULO,TOCO
05:07:15,238.8,CBO INTEGRA,TOCO
06:51:05,238.16,DUQUE DE CAXIAS,TOCO
05:34:05,237.52,DUQUE DE CAXIAS,VUC
07:42:07,237.34,DUQUE DE CAXIAS,TOCO
04:06:31,236.69,SÃO PAULO,TOCO
04:12:51,235.75,MACAÉ,CARRETA
08:06:16,235.61,DUQUE DE CAXIAS,TOCO
04:25:39,235.58,DUQUE DE CAXIAS,CARRETA
04:45:31,235.14,SÃO PAULO,VUC
03:34:27,235.06,SÃO PAULO,TOCO
05:46:54,233.95,DUQUE DE CAXIAS,TOCO
04:50:58,233.51,DUQUE DE CAXIAS,TOCO
06:49:43,233.48,SÃO PAULO,TOCO
06:59:22,233.17,MACAÉ,VUC
04:49:22,232.98,MACAÉ,CARRETA
05:20:50,232.74,MACAÉ,CARRETA
05:33:59,232.55,MACAÉ,CARRETA
04:07:15,231.96,DUQUE DE CAXIAS,TOCO
04:43:29,231.66,MACAÉ,CARRETA
04:55:38,231.51,SÃO PAULO,VUC
06:25:23,231.32,SÃO PAULO,VUC
04:51:11,230.39,SÃO PAULO,TOCO
04:31:15,230.37,DUQUE DE CAXIAS,TOCO
07:22:22,229.71,DUQUE DE CAXIAS,TOCO
07:05:06,229.48,SÃO PAULO,VUC
04:42:07,229.29,SÃO PAULO,TOCO
06:50:20,229.04,DUQUE DE CAXIAS,VUC
06:18:40,228.72,DUQUE DE CAXIAS,CARRETA
04:46:20,227.82,DUQUE DE CAXIAS,TOCO
05:34:11,226.79,MACAÉ,CARRETA
06:53:16,226.72,RISER,CARRETA
06:47:55,226.67,RISER,CARRETA
1900-01-01 16:00:31,226.51,DUQUE DE CAXIAS,TOCO
08:27:07,225.94,DUQUE DE CAXIAS,VUC
04:59:39,225.16,MACAÉ,CARRETA
07:51:28,224.89,SÃO PAULO,TOCO
06:35:24,224.2,DUQUE DE CAXIAS,VUC
04:35:22,223.51,CBO INTEGRA,TOCO
05:56:24,223.35,MACAÉ,CARRETA
05:40:23,221.33,MACAÉ,CARRETA
04:33:28,220.93,SÃO PAULO,TOCO
07:13:15,220.36,CBO INTEGRA,VUC
06:18:34,220.33,SÃO PAULO,VUC
04:16:43,219.14,SÃO PAULO,TOCO
06:27:22,218.57,MACAÉ,CARRETA
05:47:41,218.11,DUQUE DE CAXIAS,VUC
04:05:28,217.55,DUQUE DE CAXIAS,VUC
05:37:40,217.52,SÃO PAULO,VUC
06:47:41,217.48,RISER,CARRETA
05:34:21,217.32,SÃO PAULO,VUC
07:35:35,216.53,RISER,CARRETA
03:12:31,216.5,SÃO PAULO,TOCO
04:45:44,216.38,DUQUE DE CAXIAS,TOCO
04:59:18,216.28,MACAÉ,CARRETA
04:41:23,215.44,MACAÉ,CARRETA
04:03:51,215.07,DUQUE DE CAXIAS,TOCO
05:30:23,214.86,MACAÉ,CARRETA
03:17:49,213.47,DUQUE DE CAXIAS,VUC
03:57:18,213.13,DUQUE DE CAXIAS,VUC
05:13:38,212.66,MACAÉ,CARRETA
05:17:06,211.95,DUQUE DE CAXIAS,CARRETA
04:27:59,211.84,MACAÉ,CARRETA
05:35:08,211.67,MACAÉ,CARRETA
05:30:12,211.43,MACAÉ,CARRETA
05:27:28,210.72,MACAÉ,CARRETA
05:14:14,210.4,SÃO PAULO,VUC
06:13:43,209.26,MACAÉ,CARRETA
04:09:30,208.86,MACAÉ,CARRETA
04:28:24,208.29,MACAÉ,CARRETA
04:06:25,208.25,DUQUE DE CAXIAS,VUC
05:11:53,208.18,DUQUE DE CAXIAS,TOCO
03:44:28,208.13,CBO INTEGRA,VUC
08:37:18,208.06,DUQUE DE CAXIAS,VUC
05:13:24,207.52,DUQUE DE CAXIAS,VUC
06:24:49,207.18,SÃO PAULO,TOCO
04:52:20,207.09,SÃO PAULO,TOCO
06:00:22,206.75,SÃO PAULO,VUC
03:53:25,206.35,DUQUE DE CAXIAS,TOCO
04:54:18,206.11,MACAÉ,CARRETA
04:10:07,205.42,MACAÉ,CARRETA
03:50:45,205.38,RISER,CARRETA
07:50:35,205.21,DUQUE DE CAXIAS,TOCO
03:43:00,205.19,MACAÉ,CARRETA
04:58:02,205.1,SÃO PAULO,TOCO
04:11:07,205.06,SÃO PAULO,TOCO
03:41:18,205.0,RISER,CARRETA
04:45:53,204.95,DUQUE DE CAXIAS,CARRETA
03:42:40,204.6,DUQUE DE CAXIAS,TOCO
04:39:55,204.58,SÃO PAULO,TOCO
04:31:05,203.8,MACAÉ,CARRETA
04:52:10,203.47,SÃO PAULO,TOCO
05:48:31,202.37,SÃO PAULO,TOCO
03:45:42,202.0,SÃO PAULO,TOCO
03:53:48,201.81,MACAÉ,CARRETA
03:34:49,201.77,SÃO PAULO,TOCO
03:52:52,201.6,RISER,CARRETA
10:28:55,201.15,MACAÉ,VUC
05:05:13,200.68,RISER,CARRETA
04:23:22,200.04,RISER,CARRETA
05:59:31,196.68,DUQUE DE CAXIAS,TOCO
05:13:47,195.99,SÃO PAULO,VUC
05:18:03,195.9,SÃO PAULO,VUC
05:54:10,195.67,VITÓRIA,VUC
05:52:46,195.59,SÃO PAULO,VUC
03:55:08,194.76,DUQUE DE CAXIAS,TOCO
07:14:23,193.14,SÃO PAULO,VUC
08:13:11,193.08,DUQUE DE CAXIAS,TOCO
06:11:22,192.49,SÃO PAULO,VUC
03:09:26,192.3,SÃO PAULO,TOCO
02:55:26,191.87,SÃO PAULO,TOCO
03:03:51,191.71,SÃO PAULO,TOCO
05:45:13,190.52,SÃO PAULO,TOCO
03:49:48,189.76,MACAÉ,CARRETA
04:46:33,189.26,MACAÉ,CARRETA
06:17:09,187.7,SÃO PAULO,VUC
09:14:13,187.61,DUQUE DE CAXIAS,VUC
05:30:23,186.52,DUQUE DE CAXIAS,VUC
05:05:22,185.48,MACAÉ,CARRETA
06:38:02,185.24,SÃO PAULO,VUC
